"Points:0","Points:1","Points:2"
0.10704176,0.10446978,0.58175439
0.10703857,0.11340725,0.58212763
0.1070354,0.12234227,0.58249116
0.10703222,0.13127497,0.58285207
0.10702895,0.1402581,0.58322895
0.10702354,0.14950326,0.58385956
0.10701571,0.15887012,0.58470792
0.10700789,0.16823202,0.58556491
0.10700005,0.17761886,0.58642799
0.10699177,0.18718299,0.58734965
0.10698273,0.19690424,0.58831888
0.10697313,0.20666717,0.58936352
0.10696347,0.21645488,0.5904215
0.10695371,0.22639748,0.59149361
0.10694402,0.23648253,0.59257019
0.1069349,0.24668354,0.59359646
0.1069262,0.25696832,0.59459645
0.10691758,0.26739946,0.59556979
0.10690945,0.27798289,0.59645504
0.10690241,0.28873292,0.59719604
0.10689744,0.29975203,0.59776407
0.10689389,0.31108376,0.59821057
0.10689086,0.32260382,0.59856778
0.10688858,0.33435327,0.59881896
0.12112528,0.10446995,0.58175129
0.12111573,0.11340777,0.58212411
0.12110619,0.12234314,0.58248758
0.12109665,0.13127618,0.58284849
0.12108683,0.14025965,0.58322531
0.12107061,0.14950523,0.58385581
0.12104713,0.15887219,0.58470416
0.12102368,0.16823418,0.58556116
0.12100015,0.17762111,0.58642423
0.1209753,0.18718538,0.58734584
0.1209482,0.19690695,0.58831495
0.12091938,0.20666984,0.58935964
0.12089042,0.21645747,0.59041762
0.12086114,0.22640005,0.59148973
0.12083206,0.23648526,0.59256637
0.12080469,0.24668656,0.5935927
0.12077859,0.2569716,0.59459275
0.12075276,0.26740304,0.59556609
0.12072836,0.27798676,0.59645146
0.12070722,0.28873706,0.5971927
0.12069231,0.29975656,0.59776092
0.12068167,0.31108868,0.59820747
0.12067259,0.32260898,0.59856474
0.12066577,0.33435845,0.59881598
0.1352088,0.10447012,0.58174795
0.13519287,0.11340829,0.5821206
0.13517697,0.12234399,0.58248407
0.13516109,0.13127738,0.58284491
0.13514473,0.14026119,0.58322173
0.13511769,0.14950719,0.58385211
0.13507856,0.15887424,0.58470047
0.13503946,0.16823633,0.5855574
0.13500024,0.17762336,0.58642042
0.13495883,0.18718778,0.58734196
0.13491367,0.19690967,0.58831102
0.13486563,0.20667249,0.58935571
0.13481736,0.21646006,0.59041375
0.13476856,0.22640261,0.59148592
0.1347201,0.23648798,0.5925625
0.13467447,0.2466896,0.59358895
0.13463098,0.25697491,0.59458905
0.13458793,0.26740658,0.5955624
0.13454726,0.27799061,0.59644789
0.13451204,0.28874123,0.59718943
0.13448718,0.29976109,0.59775776
0.13446945,0.3110936,0.59820437
0.13445432,0.32261413,0.5985617
0.13444294,0.33436364,0.598813
0.14929232,0.10447029,0.58174461
0.14927003,0.1134088,0.58211708
0.14924777,0.12234486,0.58248049
0.14922552,0.13127857,0.58284134
0.1492026,0.14026272,0.58321816
0.14916477,0.14950918,0.58384836
0.14910999,0.15887631,0.58469671
0.14905526,0.16823849,0.58555365
0.14900036,0.17762561,0.5864166
0.14894238,0.18719018,0.58733815
0.14887914,0.19691236,0.58830708
0.14881188,0.20667516,0.58935183
0.14874431,0.21646266,0.59040987
0.14867599,0.22640519,0.59148204
0.14860815,0.2364907,0.59255868
0.14854427,0.24669263,0.59358519
0.14848338,0.25697818,0.59458536
0.14842309,0.26741013,0.59555876
0.14836617,0.27799448,0.59644437
0.14831685,0.28874537,0.59718609
0.14828207,0.29976562,0.5977546
0.14825724,0.31109852,0.59820127
0.14823604,0.32261929,0.59855866
0.14822011,0.33436882,0.59881002
0.16314086,0.10446948,0.58175427
0.16311927,0.11340637,0.58212662
0.16309768,0.12234081,0.58248967
0.16307609,0.13127293,0.5828501
0.16305365,0.14025547,0.58322644
0.16301359,0.14950067,0.58385575
0.16295692,0.15886697,0.58470291
0.16290016,0.16822833,0.58555865
0.16284308,0.17761466,0.58642054
0.16278209,0.18717857,0.58734083
0.1627139,0.19690071,0.58830845
0.16264106,0.20666459,0.58935171
0.16256773,0.21645336,0.59040833
0.16249347,0.22639725,0.59147912
0.16241993,0.23648454,0.59255445
0.16234954,0.24668877,0.59357977
0.16228239,0.25697714,0.59457904
0.1622161,0.26741201,0.59555161
0.16215429,0.27799937,0.59643662
0.16210258,0.28875315,0.59717804
0.16206415,0.29977566,0.59774643
0.16203468,0.31111005,0.59819317
0.16201001,0.32263201,0.59855068
0.16199242,0.3343823,0.59880215
0.17695491,0.10446842,0.58176792
0.17693476,0.1134032,0.58213967
0.17691462,0.12233554,0.58250219
0.17689447,0.13126557,0.58286208
0.1768733,0.14024602,0.58323789
0.17683168,0.14948954,0.583866
0.17677459,0.15885478,0.58471161
0.17671736,0.16821508,0.58556587
0.1766597,0.17760035,0.58642626
0.17659737,0.18716343,0.58734494
0.1765257,0.19688545,0.58831084
0.17644888,0.2066507,0.58935219
0.17637153,0.21644102,0.59040689
0.17629318,0.22638658,0.59147578
0.17621607,0.23647615,0.59254932
0.17614082,0.24668333,0.59357309
0.17606902,0.25697532,0.59457111
0.17599846,0.26741394,0.59554255
0.17593379,0.27800524,0.59642673
0.17588209,0.28876278,0.59716785
0.175841,0.2997883,0.597736
0.17580718,0.31112477,0.59818286
0.17577952,0.32264832,0.59854048
0.1757609,0.33439961,0.59879202
0.19076896,0.10446736,0.58178186
0.19075027,0.11340003,0.58215272
0.19073157,0.12233028,0.5825147
0.19071285,0.1312582,0.58287406
0.19069295,0.14023656,0.58324927
0.19064976,0.14947841,0.58387625
0.19059224,0.15884258,0.58472037
0.19053453,0.16820183,0.58557308
0.19047633,0.17758606,0.58643192
0.19041264,0.18714829,0.58734906
0.19033751,0.19687021,0.58831322
0.1902567,0.2066368,0.58935261
0.19017532,0.21642867,0.5904054
0.19009291,0.22637591,0.59147245
0.19001219,0.23646775,0.5925442
0.18993209,0.24667788,0.59356648
0.18985564,0.25697351,0.59456325
0.18978083,0.26741588,0.59553355
0.18971331,0.27801111,0.59641689
0.18966159,0.28877243,0.5971576
0.18961784,0.29980093,0.59772563
0.1895797,0.31113949,0.59817255
0.18954901,0.32266465,0.59853029
0.18952937,0.3344169,0.59878188
0.204643,0.10446616,0.58180028
0.20462352,0.11339646,0.58217001
0.20460407,0.12232433,0.58253127
0.20458461,0.1312499,0.58288991
0.2045638,0.1402259,0.58326447
0.20451602,0.14946586,0.58389008
0.20445351,0.15882877,0.58473217
0.20439099,0.16818677,0.58558303
0.20432803,0.17756981,0.58643997
0.20425886,0.18713102,0.58735514
0.20417608,0.19685271,0.58831722
0.20408711,0.20662087,0.58935422
0.20399778,0.21641456,0.59040475
0.20390758,0.22636372,0.59146953
0.20381983,0.23645806,0.59253913
0.20373167,0.24667141,0.59355962
0.20364797,0.25697109,0.59455502
0.20356658,0.26741767,0.59552407
0.20349406,0.27801728,0.59640658
0.20344034,0.28878278,0.59714681
0.20339258,0.29981452,0.5977146
0.20334974,0.31115517,0.59816164
0.20331571,0.3226819,0.59851956
0.20329469,0.33443519,0.59877127
0.21873285,0.10446376,0.58184373
0.21870512,0.11338928,0.58221251
0.21867742,0.1223124,0.58257216
0.2186497,0.13123325,0.58292931
0.21862034,0.14020452,0.5833022
0.21855906,0.14944054,0.58392471
0.21847604,0.15880075,0.58476245
0.21839297,0.16815612,0.58560902
0.2183094,0.17753655,0.58646172
0.21821834,0.18709545,0.58737242
0.21811198,0.19681656,0.58832967
0.21799882,0.20658778,0.58936113
0.21788518,0.21638493,0.59040618
0.21777041,0.22633778,0.59146565
0.21765786,0.23643672,0.59253013
0.21754749,0.24665675,0.59354633
0.21744487,0.2569654,0.59453869
0.2173451,0.26742125,0.59550512
0.21725595,0.27803043,0.59638578
0.21718632,0.28880495,0.59712517
0.21712728,0.29984301,0.59769291
0.21707711,0.31118745,0.5981406
0.21703748,0.32271722,0.59849906
0.21701252,0.33447236,0.59875125
0.23282257,0.10446128,0.58188939
0.23278646,0.11338186,0.58225638
0.23275037,0.12230005,0.58261442
0.23271431,0.131216,0.5829699
0.23267625,0.14018238,0.58334112
0.23260096,0.14941435,0.58396035
0.23249699,0.15877181,0.58479351
0.23239297,0.16812445,0.58563554
0.23228842,0.17750221,0.58648378
0.23217495,0.18705876,0.58738977
0.23204426,0.19677937,0.58834195
0.23190625,0.20655371,0.58936757
0.23176767,0.21635446,0.59040695
0.23162775,0.22631112,0.59146076
0.23148979,0.23641494,0.59251988
0.23135649,0.24664199,0.59353155
0.23123428,0.25695997,0.59452069
0.23111565,0.26742554,0.59548438
0.23100968,0.27804485,0.59636313
0.23092371,0.28882891,0.59710175
0.2308529,0.2998738,0.59766936
0.23079503,0.31122249,0.59811777
0.23074971,0.3227556,0.59847689
0.23072077,0.3345128,0.59872949
0.24691227,0.1044588,0.58193547
0.24686778,0.11337443,0.58230036
0.24682333,0.12228772,0.58265668
0.24677889,0.13119878,0.58301049
0.24673215,0.14016025,0.58338004
0.24664289,0.14938816,0.58399606
0.24651799,0.15874287,0.58482456
0.24639304,0.1680928,0.58566207
0.2462675,0.1774679,0.58650583
0.24613161,0.18702209,0.58740717
0.24597661,0.19674218,0.58835423
0.24581374,0.20651963,0.58937407
0.24565023,0.21632399,0.59040773
0.24548514,0.22628446,0.59145594
0.24532177,0.23639314,0.59250963
0.24516553,0.24662723,0.59351683
0.24502371,0.25695458,0.59450269
0.2448862,0.26742986,0.59546363
0.2447634,0.27805927,0.59634042
0.24466109,0.2888529,0.5970782
0.24457853,0.29990458,0.59764588
0.24451292,0.31125754,0.59809494
0.24446192,0.32279399,0.59845465
0.24442901,0.33455324,0.5987078
0.26094103,0.10445604,0.58198804
0.26089108,0.11336619,0.58235019
0.26084113,0.12227401,0.58270442
0.26079121,0.13117965,0.58305627
0.26073864,0.14013569,0.58342379
0.26063809,0.14935906,0.58403605
0.26049691,0.15871119,0.58485895
0.26035568,0.16805859,0.58569103
0.26021367,0.1774312,0.58652943
0.26005989,0.18698324,0.58742529
0.25988474,0.19670308,0.58836639
0.25969905,0.20648442,0.58937955
0.25951257,0.2162932,0.5904066
0.25932434,0.22625834,0.59144837
0.25913757,0.23637268,0.59249592
0.25896013,0.24661489,0.59349793
0.25879797,0.25695294,0.5944804
0.25864041,0.26743925,0.59543842
0.25849971,0.27808011,0.59631324
0.25838026,0.28888446,0.59705025
0.25828564,0.29994375,0.59761798
0.25821158,0.31130096,0.598068
0.25815412,0.32284081,0.59842873
0.25811645,0.33460215,0.59868252
0.27504432,0.10445281,0.58205515
0.27498689,0.11335652,0.5824151
0.27492949,0.12225795,0.58276647
0.27487209,0.13115723,0.5831154
0.27481163,0.14010695,0.58348
0.27469453,0.14932509,0.58408701
0.27453056,0.15867446,0.58490229
0.27436647,0.16801919,0.58572674
0.27420148,0.17738922,0.58655745
0.2740227,0.18693908,0.58744532
0.27381945,0.19665931,0.58837813
0.27360043,0.20644577,0.58938181
0.27338034,0.21626037,0.59039944
0.27315804,0.22623162,0.59143192
0.27293748,0.23635362,0.59247047
0.27272874,0.24660726,0.59346521
0.27253416,0.25695997,0.59444267
0.27234399,0.26746136,0.59539646
0.27217284,0.27811795,0.59626848
0.27202797,0.28893751,0.59700501
0.27191547,0.30000803,0.59757364
0.27182713,0.31137219,0.59802574
0.27175811,0.32291773,0.59838831
0.2717115,0.33468226,0.59864366
0.28915542,0.10444956,0.58212358
0.28909025,0.11334682,0.58248019
0.28902507,0.12224184,0.58282864
0.28895989,0.13113476,0.58317465
0.28889114,0.14007811,0.58353621
0.28875664,0.14929104,0.58413786
0.288569,0.15863767,0.58494532
0.28838119,0.16797976,0.58576202
0.28819236,0.17734723,0.58658504
0.28798744,0.18689494,0.58746481
0.28775486,0.19661561,0.5883891
0.28750125,0.20640723,0.58938313
0.28724626,0.21622771,0.59039122
0.28698865,0.22620516,0.59141421
0.28673291,0.23633496,0.5924437
0.28649145,0.24660021,0.59343106
0.28626308,0.25696775,0.59440327
0.28603902,0.26748449,0.59535277
0.2858364,0.2781572,0.59622204
0.28566509,0.28899235,0.5969581
0.28553376,0.30007452,0.59752768
0.28543028,0.31144601,0.59798199
0.28534937,0.32299745,0.59834653
0.28529349,0.33476529,0.59860343
0.30328417,0.10444635,0.58219242
0.30320984,0.11333723,0.58254522
0.3031356,0.12222593,0.58289057
0.30306143,0.13111255,0.58323359
0.30298325,0.14004961,0.58359218
0.30282971,0.14925738,0.5841884
0.30261597,0.15860127,0.58498806
0.30240241,0.16794072,0.58579707
0.30218804,0.17730562,0.58661234
0.30195561,0.18685116,0.587484
0.30169255,0.19657218,0.58839983
0.30140346,0.20636885,0.58938432
0.30111289,0.21619515,0.59038293
0.30081955,0.22617874,0.59139651
0.30052847,0.23631629,0.592417
0.30025423,0.24659313,0.5933969
0.299992,0.25697553,0.59436399
0.299734,0.26750764,0.59530908
0.29949987,0.27819648,0.59617555
0.29930213,0.28904721,0.59691119
0.29915199,0.30014098,0.59748173
0.29903337,0.31151986,0.59793818
