4913	4096
0.1 	0.1 	0.1 
0.15	0.1 	0.1 
0.2 	0.1 	0.1 
0.25	0.1 	0.1 
0.3 	0.1 	0.1 
0.35	0.1 	0.1 
0.4 	0.1 	0.1 
0.45	0.1 	0.1 
0.5 	0.1 	0.1 
0.55	0.1 	0.1 
0.6 	0.1 	0.1 
0.65	0.1 	0.1 
0.7 	0.1 	0.1 
0.75	0.1 	0.1 
0.8 	0.1 	0.1 
0.85	0.1 	0.1 
0.9 	0.1 	0.1 
0.1 	0.15	0.1 
0.15	0.15	0.1 
0.2 	0.15	0.1 
0.25	0.15	0.1 
0.3 	0.15	0.1 
0.35	0.15	0.1 
0.4 	0.15	0.1 
0.45	0.15	0.1 
0.5 	0.15	0.1 
0.55	0.15	0.1 
0.6 	0.15	0.1 
0.65	0.15	0.1 
0.7 	0.15	0.1 
0.75	0.15	0.1 
0.8 	0.15	0.1 
0.85	0.15	0.1 
0.9 	0.15	0.1 
0.1 	0.2 	0.1 
0.15	0.2 	0.1 
0.2 	0.2 	0.1 
0.25	0.2 	0.1 
0.3 	0.2 	0.1 
0.35	0.2 	0.1 
0.4 	0.2 	0.1 
0.45	0.2 	0.1 
0.5 	0.2 	0.1 
0.55	0.2 	0.1 
0.6 	0.2 	0.1 
0.65	0.2 	0.1 
0.7 	0.2 	0.1 
0.75	0.2 	0.1 
0.8 	0.2 	0.1 
0.85	0.2 	0.1 
0.9 	0.2 	0.1 
0.1 	0.25	0.1 
0.15	0.25	0.1 
0.2 	0.25	0.1 
0.25	0.25	0.1 
0.3 	0.25	0.1 
0.35	0.25	0.1 
0.4 	0.25	0.1 
0.45	0.25	0.1 
0.5 	0.25	0.1 
0.55	0.25	0.1 
0.6 	0.25	0.1 
0.65	0.25	0.1 
0.7 	0.25	0.1 
0.75	0.25	0.1 
0.8 	0.25	0.1 
0.85	0.25	0.1 
0.9 	0.25	0.1 
0.1 	0.3 	0.1 
0.15	0.3 	0.1 
0.2 	0.3 	0.1 
0.25	0.3 	0.1 
0.3 	0.3 	0.1 
0.35	0.3 	0.1 
0.4 	0.3 	0.1 
0.45	0.3 	0.1 
0.5 	0.3 	0.1 
0.55	0.3 	0.1 
0.6 	0.3 	0.1 
0.65	0.3 	0.1 
0.7 	0.3 	0.1 
0.75	0.3 	0.1 
0.8 	0.3 	0.1 
0.85	0.3 	0.1 
0.9 	0.3 	0.1 
0.1 	0.35	0.1 
0.15	0.35	0.1 
0.2 	0.35	0.1 
0.25	0.35	0.1 
0.3 	0.35	0.1 
0.35	0.35	0.1 
0.4 	0.35	0.1 
0.45	0.35	0.1 
0.5 	0.35	0.1 
0.55	0.35	0.1 
0.6 	0.35	0.1 
0.65	0.35	0.1 
0.7 	0.35	0.1 
0.75	0.35	0.1 
0.8 	0.35	0.1 
0.85	0.35	0.1 
0.9 	0.35	0.1 
0.1 	0.4 	0.1 
0.15	0.4 	0.1 
0.2 	0.4 	0.1 
0.25	0.4 	0.1 
0.3 	0.4 	0.1 
0.35	0.4 	0.1 
0.4 	0.4 	0.1 
0.45	0.4 	0.1 
0.5 	0.4 	0.1 
